simpanan_id,nasabah_id,jenis_simpanan,saldo,suku_bunga_persen,tanggal_buka,mata_uang,status
SMP0000151,NSB0008150,Tabungan,50000000,1.0,2021-05-02,IDR,Aktif
SMP0000152,NSB0007189,Deposito,250000000,5.5,2017-06-04,USD,Ditutup
SMP0000153,NSB0007021,Giro,10000000,0.5,2024-01-13,IDR,Aktif
SMP0000154,NSB0005679,Tabungan,50000000,2.0,2024-10-09,USD,Aktif
SMP0000155,NSB0008235,Tabungan,10000000,1.0,2023-05-14,IDR,Aktif
SMP0000156,NSB0007450,Deposito,25000000,4.5,2022-05-19,IDR,Aktif
SMP0000157,NSB0008619,Deposito,1000000000,5.5,2022-11-05,IDR,Aktif
SMP0000158,NSB0004855,Deposito,1000000000,5.5,2021-07-01,IDR,Aktif
SMP0000159,NSB0007406,Tabungan,25000000,2.0,2018-05-19,IDR,Aktif
SMP0000160,NSB0000048,Deposito,100000000,3.5,2019-06-02,IDR,Aktif
SMP0000161,NSB0006038,Tabungan,100000000,1.0,2021-02-16,IDR,Aktif
SMP0000162,NSB0004370,Tabungan,25000000,1.5,2016-07-08,IDR,Aktif
SMP0000163,NSB0001484,Tabungan,25000000,1.0,2017-03-23,IDR,Aktif
SMP0000164,NSB0000590,Tabungan,100000000,1.5,2022-10-21,IDR,Aktif
SMP0000165,NSB0006662,Giro,500000000,0.25,2016-09-06,IDR,Ditutup
SMP0000166,NSB0008179,Deposito,250000000,4.0,2022-01-22,IDR,Aktif
SMP0000167,NSB0004586,Tabungan,10000000,2.0,2022-08-17,IDR,Aktif
SMP0000168,NSB0009701,Giro,10000000,0.5,2015-05-19,IDR,Ditutup
SMP0000169,NSB0008405,Tabungan,10000000,2.0,2019-06-06,IDR,Ditutup
SMP0000170,NSB0004460,Tabungan,50000000,1.5,2022-05-17,IDR,Aktif
SMP0000171,NSB0008782,Tabungan,250000000,2.0,2020-10-24,IDR,Aktif
SMP0000172,NSB0005282,Tabungan,10000000,1.0,2024-02-22,IDR,Ditutup
SMP0000173,NSB0000913,Tabungan,25000000,1.0,2023-09-08,IDR,Aktif
SMP0000174,NSB0007146,Tabungan,1000000,0.5,2017-01-29,IDR,Aktif
SMP0000175,NSB0002703,Tabungan,1000000,0.5,2017-05-24,IDR,Aktif
SMP0000176,NSB0005952,Deposito,10000000,5.5,2020-12-10,IDR,Aktif
SMP0000177,NSB0004742,Tabungan,1000000,0.5,2018-02-05,IDR,Aktif
SMP0000178,NSB0008637,Deposito,10000000,3.5,2016-12-16,IDR,Aktif
SMP0000179,NSB0001077,Tabungan,10000000,0.5,2019-05-26,IDR,Aktif
SMP0000180,NSB0001580,Deposito,1000000000,4.0,2020-07-24,IDR,Aktif
SMP0000181,NSB0006840,Tabungan,25000000,0.5,2023-01-05,IDR,Ditutup
SMP0000182,NSB0006521,Deposito,500000000,4.5,2018-10-09,IDR,Aktif
SMP0000183,NSB0007837,Deposito,100000000,5.5,2021-08-22,IDR,Aktif
SMP0000184,NSB0005928,Giro,10000000,0.25,2015-08-25,IDR,Aktif
SMP0000185,NSB0002908,Tabungan,5000000,1.5,2020-04-18,IDR,Aktif
SMP0000186,NSB0007917,Tabungan,100000000,2.0,2023-09-12,IDR,Aktif
SMP0000187,NSB0002959,Deposito,10000000,5.5,2018-01-14,IDR,Aktif
SMP0000188,NSB0003418,Deposito,10000000,5.5,2018-11-16,IDR,Aktif
SMP0000189,NSB0001158,Deposito,100000000,5.0,2022-01-29,IDR,Aktif
SMP0000190,NSB0006660,Tabungan,5000000,1.0,2022-08-27,IDR,Ditutup
SMP0000191,NSB0002124,Deposito,10000000,5.0,2023-02-08,IDR,Aktif
SMP0000192,NSB0009387,Deposito,500000000,5.5,2018-07-09,IDR,Aktif
SMP0000193,NSB0001341,Deposito,1000000000,4.5,2021-02-12,IDR,Aktif
SMP0000194,NSB0008042,Tabungan,5000000,2.0,2019-11-30,IDR,Aktif
SMP0000195,NSB0009818,Giro,50000000,0.25,2018-03-06,IDR,Aktif
SMP0000196,NSB0000704,Tabungan,250000000,1.5,2020-07-08,IDR,Aktif
SMP0000197,NSB0007243,Tabungan,100000,1.0,2019-05-17,IDR,Aktif
SMP0000198,NSB0002727,Tabungan,250000000,2.0,2021-10-13,IDR,Aktif
SMP0000199,NSB0003393,Tabungan,10000000,2.0,2017-05-03,IDR,Aktif
SMP0000200,NSB0009838,Tabungan,1000000,2.0,2020-07-26,IDR,Aktif
SMP0000201,NSB0003619,Deposito,1000000000,5.0,2016-12-09,IDR,Aktif
SMP0000202,NSB0006755,Tabungan,25000000,1.0,2017-04-14,IDR,Aktif
SMP0000203,NSB0006427,Giro,500000000,0.25,2021-12-09,IDR,Aktif
SMP0000204,NSB0003696,Giro,500000000,1.0,2021-08-03,IDR,Aktif
SMP0000205,NSB0007747,Tabungan,250000000,0.5,2018-06-20,IDR,Aktif
SMP0000206,NSB0009605,Deposito,500000000,5.0,2024-08-09,IDR,Aktif
SMP0000207,NSB0002439,Giro,500000000,0.5,2018-10-09,IDR,Aktif
SMP0000208,NSB0000048,Tabungan,500000,0.5,2022-01-22,IDR,Aktif
SMP0000209,NSB0000328,Tabungan,100000000,1.5,2023-03-21,IDR,Aktif
SMP0000210,NSB0002211,Deposito,10000000,3.5,2018-03-31,IDR,Aktif
SMP0000211,NSB0000996,Giro,5000000,1.0,2016-05-12,IDR,Aktif
SMP0000212,NSB0005657,Tabungan,500000,1.5,2021-08-16,IDR,Aktif
SMP0000213,NSB0000301,Deposito,50000000,4.5,2016-07-30,IDR,Aktif
SMP0000214,NSB0004276,Deposito,1000000000,5.0,2024-09-09,IDR,Aktif
SMP0000215,NSB0008548,Tabungan,100000,2.0,2022-12-11,IDR,Ditutup
SMP0000216,NSB0003240,Deposito,250000000,3.5,2022-02-05,IDR,Aktif
SMP0000217,NSB0004507,Deposito,50000000,4.0,2019-06-18,IDR,Aktif
SMP0000218,NSB0004064,Deposito,50000000,4.5,2017-05-07,IDR,Aktif
SMP0000219,NSB0002000,Deposito,250000000,5.5,2023-01-30,IDR,Aktif
SMP0000220,NSB0004571,Tabungan,100000000,1.5,2021-02-14,IDR,Aktif
SMP0000221,NSB0005880,Deposito,50000000,3.5,2017-12-23,IDR,Aktif
SMP0000222,NSB0006309,Tabungan,50000000,1.5,2016-05-14,IDR,Aktif
SMP0000223,NSB0002735,Deposito,500000000,4.0,2022-09-11,IDR,Aktif
SMP0000224,NSB0003505,Deposito,1000000000,4.0,2016-11-14,IDR,Aktif
SMP0000225,NSB0004526,Tabungan,25000000,1.5,2023-09-28,IDR,Aktif
SMP0000226,NSB0009025,Deposito,1000000000,4.5,2022-10-21,IDR,Aktif
SMP0000227,NSB0009359,Deposito,50000000,3.5,2016-06-29,IDR,Aktif
SMP0000228,NSB0002658,Tabungan,100000,2.0,2015-12-13,IDR,Aktif
SMP0000229,NSB0001299,Deposito,1000000000,3.5,2019-04-13,IDR,Aktif
SMP0000230,NSB0005226,Tabungan,500000,1.0,2018-02-25,IDR,Aktif
SMP0000231,NSB0009723,Tabungan,100000,0.5,2015-08-16,IDR,Aktif
SMP0000232,NSB0001112,Deposito,50000000,3.5,2021-04-13,IDR,Aktif
SMP0000233,NSB0008766,Deposito,100000000,4.5,2019-01-15,IDR,Aktif
SMP0000234,NSB0003521,Tabungan,10000000,1.0,2016-05-04,IDR,Aktif
SMP0000235,NSB0002962,Tabungan,1000000,1.5,2016-07-29,IDR,Aktif
SMP0000236,NSB0009475,Tabungan,5000000,0.5,2021-12-28,IDR,Aktif
SMP0000237,NSB0009763,Tabungan,5000000,1.5,2016-01-17,IDR,Ditutup
SMP0000238,NSB0009599,Deposito,1000000000,5.0,2020-01-08,IDR,Aktif
SMP0000239,NSB0008953,Tabungan,100000000,1.5,2018-10-21,IDR,Aktif
SMP0000240,NSB0004604,Deposito,50000000,4.0,2022-10-25,IDR,Aktif
SMP0000241,NSB0005768,Tabungan,100000,1.5,2016-12-08,IDR,Aktif
SMP0000242,NSB0007612,Giro,10000000,0.25,2024-08-18,IDR,Aktif
SMP0000243,NSB0004325,Tabungan,25000000,1.0,2015-10-05,IDR,Aktif
SMP0000244,NSB0004023,Giro,5000000,0.25,2015-03-29,IDR,Aktif
SMP0000245,NSB0000676,Giro,5000000,1.0,2023-03-08,IDR,Aktif
SMP0000246,NSB0005366,Deposito,100000000,3.5,2022-10-18,IDR,Aktif
SMP0000247,NSB0007414,Deposito,25000000,3.5,2015-11-13,IDR,Aktif
SMP0000248,NSB0007775,Giro,100000000,1.0,2024-07-06,IDR,Aktif
SMP0000249,NSB0001285,Tabungan,10000000,1.5,2017-11-20,IDR,Aktif
SMP0000250,NSB0001363,Tabungan,100000000,0.5,2022-03-01,IDR,Aktif
SMP0000251,NSB0009948,Tabungan,100000000,1.5,2022-06-18,IDR,Ditutup
SMP0000252,NSB0006712,Tabungan,100000000,1.0,2016-08-19,IDR,Aktif
SMP0000253,NSB0003323,Giro,100000000,0.25,2024-01-24,IDR,Aktif
SMP0000254,NSB0000881,Deposito,10000000,3.5,2023-09-03,IDR,Aktif
SMP0000255,NSB0005891,Tabungan,100000000,2.0,2019-01-11,IDR,Aktif
SMP0000256,NSB0009057,Tabungan,10000000,1.0,2022-03-13,IDR,Aktif
SMP0000257,NSB0001540,Tabungan,1000000,0.5,2017-02-23,IDR,Aktif
SMP0000258,NSB0006331,Tabungan,100000000,0.5,2023-03-18,USD,Aktif
SMP0000259,NSB0008595,Deposito,50000000,5.5,2023-12-09,IDR,Aktif
SMP0000260,NSB0000290,Tabungan,10000000,2.0,2021-02-10,IDR,Aktif
SMP0000261,NSB0009394,Deposito,10000000,4.5,2015-01-18,IDR,Aktif
SMP0000262,NSB0008729,Tabungan,25000000,1.5,2021-12-06,IDR,Aktif
SMP0000263,NSB0005773,Tabungan,1000000,2.0,2016-10-31,IDR,Aktif
SMP0000264,NSB0008210,Tabungan,25000000,1.0,2024-09-14,IDR,Ditutup
SMP0000265,NSB0006006,Deposito,1000000000,5.5,2024-12-22,IDR,Aktif
SMP0000266,NSB0008688,Deposito,500000000,4.0,2019-01-23,IDR,Aktif
SMP0000267,NSB0000661,Tabungan,100000,1.0,2024-08-02,IDR,Aktif
SMP0000268,NSB0001620,Tabungan,50000000,0.5,2023-07-26,IDR,Aktif
SMP0000269,NSB0006727,Tabungan,250000000,0.5,2016-11-14,IDR,Aktif
SMP0000270,NSB0003143,Deposito,500000000,3.5,2021-01-04,USD,Aktif
SMP0000271,NSB0004347,Deposito,50000000,3.5,2024-11-23,IDR,Aktif
SMP0000272,NSB0006674,Tabungan,10000000,1.0,2020-09-06,IDR,Aktif
SMP0000273,NSB0002503,Deposito,100000000,3.5,2015-07-17,IDR,Aktif
SMP0000274,NSB0005709,Giro,5000000,1.0,2017-10-08,IDR,Aktif
SMP0000275,NSB0004286,Tabungan,1000000,1.5,2023-10-29,IDR,Aktif
SMP0000276,NSB0002710,Tabungan,10000000,0.5,2024-03-14,IDR,Aktif
SMP0000277,NSB0009722,Deposito,1000000000,4.0,2017-10-30,IDR,Aktif
SMP0000278,NSB0009145,Tabungan,25000000,1.0,2024-11-05,IDR,Aktif
SMP0000279,NSB0002276,Tabungan,50000000,2.0,2018-02-05,IDR,Aktif
SMP0000280,NSB0009143,Deposito,500000000,5.0,2023-04-09,IDR,Aktif
SMP0000281,NSB0001133,Tabungan,500000,1.0,2017-05-23,IDR,Aktif
SMP0000282,NSB0002663,Deposito,10000000,5.0,2020-01-14,IDR,Aktif
SMP0000283,NSB0002933,Deposito,500000000,4.5,2018-07-01,IDR,Aktif
SMP0000284,NSB0008303,Giro,5000000,0.5,2021-03-18,IDR,Aktif
SMP0000285,NSB0009153,Tabungan,1000000,2.0,2017-12-17,USD,Aktif
SMP0000286,NSB0000599,Giro,50000000,0.5,2024-03-31,IDR,Ditutup
SMP0000287,NSB0007113,Deposito,10000000,4.5,2016-02-23,IDR,Aktif
SMP0000288,NSB0009993,Deposito,100000000,5.0,2016-12-19,IDR,Aktif
SMP0000289,NSB0002336,Tabungan,250000000,1.5,2021-07-24,IDR,Ditutup
SMP0000290,NSB0000781,Tabungan,10000000,1.0,2023-11-11,IDR,Aktif
SMP0000291,NSB0004180,Tabungan,100000000,1.0,2015-04-18,IDR,Aktif
SMP0000292,NSB0009507,Tabungan,100000,1.0,2016-01-15,IDR,Aktif
SMP0000293,NSB0005057,Tabungan,500000,1.5,2016-11-28,IDR,Aktif
SMP0000294,NSB0002858,Deposito,25000000,4.5,2020-04-29,IDR,Aktif
SMP0000295,NSB0003320,Tabungan,25000000,1.5,2020-04-20,IDR,Aktif
SMP0000296,NSB0003783,Tabungan,500000,2.0,2020-04-17,IDR,Aktif
SMP0000297,NSB0007416,Tabungan,50000000,2.0,2015-03-25,IDR,Aktif
SMP0000298,NSB0001939,Giro,5000000,1.0,2015-12-28,IDR,Aktif
SMP0000299,NSB0003484,Tabungan,500000,1.0,2019-10-26,IDR,Aktif
SMP0000300,NSB0004121,Deposito,50000000,4.5,2024-04-11,IDR,Aktif
SMP0000301,NSB0004186,Deposito,50000000,4.0,2024-05-26,IDR,Aktif
SMP0000302,NSB0002938,Tabungan,10000000,1.0,2021-04-04,IDR,Aktif
SMP0000303,NSB0001508,Tabungan,1000000,1.5,2022-11-30,IDR,Aktif
SMP0000304,NSB0002521,Tabungan,50000000,1.5,2017-02-26,IDR,Aktif
SMP0000305,NSB0004504,Deposito,500000000,4.5,2020-03-31,IDR,Aktif
SMP0000306,NSB0008195,Deposito,25000000,4.5,2022-06-11,IDR,Aktif
SMP0000307,NSB0001856,Tabungan,100000,0.5,2023-04-25,IDR,Aktif
SMP0000308,NSB0004819,Deposito,250000000,3.5,2020-08-07,USD,Aktif
SMP0000309,NSB0000455,Tabungan,50000000,1.5,2024-03-10,IDR,Aktif
SMP0000310,NSB0009452,Tabungan,50000000,1.5,2023-02-08,IDR,Aktif
SMP0000311,NSB0003694,Giro,50000000,1.0,2019-12-13,IDR,Aktif
SMP0000312,NSB0009417,Deposito,25000000,3.5,2018-12-20,IDR,Aktif
SMP0000313,NSB0007625,Tabungan,5000000,2.0,2024-11-16,IDR,Ditutup
SMP0000314,NSB0002791,Deposito,500000000,5.5,2020-11-17,IDR,Aktif
SMP0000315,NSB0000668,Giro,1000000000,0.25,2022-12-25,IDR,Aktif
SMP0000316,NSB0002326,Giro,10000000,0.5,2015-04-12,IDR,Aktif
SMP0000317,NSB0005015,Tabungan,5000000,1.0,2020-05-21,IDR,Aktif
SMP0000318,NSB0008334,Deposito,100000000,4.0,2018-04-19,IDR,Aktif
SMP0000319,NSB0000855,Deposito,250000000,5.0,2017-07-29,IDR,Aktif
SMP0000320,NSB0005943,Tabungan,1000000,1.0,2019-09-28,IDR,Aktif
