kredit_id,nasabah_id,jenis_kredit,jumlah_pinjaman,outstanding,tenor_bulan,suku_bunga_persen,tanggal_pencairan,tanggal_jatuh_tempo,status_kolektibilitas,agunan,sektor_ekonomi
KRD000031,NSB0004386,KUR Kecil,50000000,21102499,48,6.0,2020-06-01,2024-05-11,5-Macet,Sertifikat Tanah,Properti
KRD000032,NSB0002443,KPR,1000000000,875793756,120,8.0,2024-03-20,2034-01-27,1-Lancar,Deposito,Perikanan
KRD000033,NSB0008940,KUR Kecil,50000000,44002070,36,6.0,2022-03-15,2025-02-27,3-Kurang Lancar,Sertifikat Tanah,Properti
KRD000034,NSB0005264,KUR Kecil,50000000,41381821,60,6.0,2023-02-14,2028-01-19,1-Lancar,Personal Guarantee,Perdagangan
KRD000035,NSB0005628,Kredit Multiguna,500000000,133882174,36,9.5,2022-09-23,2025-09-07,1-Lancar,Sertifikat Tanah,Transportasi
KRD000036,NSB0006802,KPR,750000000,156774055,120,7.5,2023-04-19,2033-02-25,1-Lancar,Tanpa Agunan,Manufaktur
KRD000037,NSB0006197,KPR,1000000000,170842322,240,7.5,2022-01-12,2041-09-29,1-Lancar,Sertifikat Tanah,Transportasi
KRD000038,NSB0009412,KUR Kecil,100000000,84839852,36,6.0,2020-06-25,2023-06-10,1-Lancar,Sertifikat Tanah,Pertanian
KRD000039,NSB0009642,Kartu Kredit,250000000,121669367,24,10.0,2022-11-13,2024-11-02,1-Lancar,Tanpa Agunan,F&B
KRD000040,NSB0006344,Kredit Multiguna,100000000,13315086,48,7.5,2024-10-15,2028-09-24,3-Kurang Lancar,Tanpa Agunan,Jasa
KRD000041,NSB0007272,KPR,300000000,65727054,240,8.0,2020-02-06,2039-10-24,2-Dalam Perhatian Khusus,Mesin/Peralatan,Properti
KRD000042,NSB0006865,Kredit Investasi,100000000,78697000,60,7.5,2022-02-13,2027-01-18,1-Lancar,Sertifikat Tanah,Perdagangan
KRD000043,NSB0005926,Kredit Modal Kerja,50000000,11595582,48,9.0,2023-09-10,2027-08-20,5-Macet,BPKB,Perdagangan
KRD000044,NSB0004707,Kredit Modal Kerja,50000000,26836976,12,9.0,2022-07-01,2023-06-26,3-Kurang Lancar,Personal Guarantee,Transportasi
KRD000045,NSB0005279,Kredit Multiguna,50000000,41505665,12,12.0,2021-12-17,2022-12-12,2-Dalam Perhatian Khusus,BPKB,Manufaktur
KRD000046,NSB0005484,KUR Kecil,100000000,66908456,36,6.0,2023-04-07,2026-03-22,3-Kurang Lancar,Sertifikat Tanah,Transportasi
KRD000047,NSB0008638,Kredit Modal Kerja,250000000,181106452,12,7.5,2024-05-31,2025-05-26,1-Lancar,BPKB,Properti
KRD000048,NSB0002643,KKB,100000000,52325814,48,10.5,2022-05-19,2026-04-28,3-Kurang Lancar,Tanpa Agunan,Konstruksi
KRD000049,NSB0000007,KPR,200000000,66152021,240,9.0,2020-03-12,2039-11-28,1-Lancar,Sertifikat Tanah,Jasa
KRD000050,NSB0001157,KUR Mikro,15000000,3251185,36,6.0,2021-12-06,2024-11-20,1-Lancar,BPKB,F&B
KRD000051,NSB0007112,KUR Kecil,300000000,135638089,36,6.0,2021-09-17,2024-09-01,1-Lancar,BPKB,Transportasi
KRD000052,NSB0002450,Kredit Investasi,100000000,69441775,24,7.5,2023-09-16,2025-09-05,1-Lancar,Personal Guarantee,Manufaktur
KRD000053,NSB0007224,Kredit Modal Kerja,1000000000,403951743,48,9.0,2024-06-30,2028-06-09,1-Lancar,BPKB,Retail
KRD000054,NSB0002960,Kredit Multiguna,250000000,212141393,36,10.0,2022-02-15,2025-01-30,1-Lancar,Sertifikat Tanah,Perdagangan
KRD000055,NSB0000227,Kredit Multiguna,1000000000,570356142,12,9.5,2021-03-13,2022-03-08,2-Dalam Perhatian Khusus,Deposito,Transportasi
KRD000056,NSB0003746,KPR,500000000,445173295,180,11.0,2024-11-04,2039-08-18,1-Lancar,BPKB,Retail
KRD000057,NSB0001911,Kredit Multiguna,50000000,7005261,36,10.5,2023-11-29,2026-11-13,1-Lancar,Mesin/Peralatan,Retail
KRD000058,NSB0003288,KKB,100000000,26459251,36,10.0,2020-12-17,2023-12-02,1-Lancar,Personal Guarantee,Konstruksi
KRD000059,NSB0000974,KPR,1000000000,240018007,180,10.5,2021-03-10,2035-12-22,1-Lancar,BPKB,F&B
KRD000060,NSB0000053,Kartu Kredit,1000000000,594442044,12,9.0,2020-04-06,2021-04-01,1-Lancar,Tanpa Agunan,Konstruksi
KRD000061,NSB0004528,KKB,500000000,100777460,36,9.0,2023-08-04,2026-07-19,1-Lancar,Mesin/Peralatan,Perdagangan
KRD000062,NSB0005897,Kredit Investasi,250000000,25343692,12,10.0,2021-01-07,2022-01-02,1-Lancar,Mesin/Peralatan,Pertanian
KRD000063,NSB0004363,KUR Kecil,100000000,88229532,60,6.0,2020-02-21,2025-01-25,1-Lancar,Tanpa Agunan,Retail
KRD000064,NSB0008488,KUR Kecil,50000000,19289407,60,6.0,2024-08-13,2029-07-18,1-Lancar,Mesin/Peralatan,Retail
KRD000065,NSB0009750,Kredit Multiguna,1000000000,563713603,48,12.0,2020-06-04,2024-05-14,1-Lancar,Tanpa Agunan,Transportasi
KRD000066,NSB0005352,KPR,300000000,250679293,240,7.5,2020-01-25,2039-10-12,1-Lancar,Sertifikat Tanah,Jasa
KRD000067,NSB0005847,Kredit Investasi,50000000,21218449,24,7.5,2021-04-25,2023-04-15,1-Lancar,Deposito,Jasa
KRD000068,NSB0009323,Kartu Kredit,100000000,79130985,24,8.5,2023-06-03,2025-05-23,1-Lancar,Tanpa Agunan,F&B
KRD000069,NSB0006281,Kredit Modal Kerja,250000000,153533875,60,11.0,2023-11-09,2028-10-13,1-Lancar,Sertifikat Tanah,Jasa
KRD000070,NSB0000148,KKB,200000000,187857865,48,7.5,2023-10-02,2027-09-11,1-Lancar,Tanpa Agunan,Jasa
KRD000071,NSB0008403,KPR,200000000,33093740,180,10.0,2022-11-11,2037-08-24,1-Lancar,Deposito,Jasa
KRD000072,NSB0008273,KKB,100000000,78391667,60,8.5,2022-12-17,2027-11-21,1-Lancar,Personal Guarantee,Jasa
KRD000073,NSB0003379,KUR Kecil,200000000,151820220,48,6.0,2021-04-07,2025-03-17,1-Lancar,Personal Guarantee,Jasa
KRD000074,NSB0005308,Kredit Multiguna,250000000,74473883,36,11.0,2021-01-22,2024-01-07,4-Diragukan,Mesin/Peralatan,Manufaktur
KRD000075,NSB0007021,Kredit Modal Kerja,50000000,33499665,24,9.5,2024-12-24,2026-12-14,1-Lancar,Personal Guarantee,Properti
KRD000076,NSB0002607,KPR,750000000,323958648,180,7.5,2024-05-27,2039-03-10,1-Lancar,Tanpa Agunan,F&B
KRD000077,NSB0004053,Kredit Investasi,500000000,318537275,36,9.5,2020-09-02,2023-08-18,1-Lancar,Deposito,Pertanian
KRD000078,NSB0001550,KUR Kecil,200000000,77158971,60,6.0,2025-02-16,2030-01-21,1-Lancar,BPKB,Transportasi
KRD000079,NSB0009337,KUR Mikro,5000000,3685598,36,6.0,2024-08-10,2027-07-26,2-Dalam Perhatian Khusus,Sertifikat Tanah,Jasa
KRD000080,NSB0003217,KUR Mikro,10000000,8511971,12,6.0,2022-04-27,2023-04-22,1-Lancar,BPKB,Perdagangan
KRD000081,NSB0001013,KPR,1000000000,693316029,120,7.5,2020-04-11,2030-02-18,1-Lancar,Deposito,Pertanian
KRD000082,NSB0002776,KUR Kecil,500000000,310788320,60,6.0,2022-11-11,2027-10-16,1-Lancar,Mesin/Peralatan,Perikanan
KRD000083,NSB0001729,Kredit Investasi,500000000,443847352,12,12.0,2022-02-06,2023-02-01,1-Lancar,Mesin/Peralatan,Transportasi
KRD000084,NSB0001500,Kredit Modal Kerja,250000000,76470066,60,8.5,2021-02-10,2026-01-15,1-Lancar,BPKB,Manufaktur
KRD000085,NSB0008337,Kredit Multiguna,1000000000,549446053,24,10.5,2023-03-18,2025-03-07,2-Dalam Perhatian Khusus,Personal Guarantee,Perdagangan
KRD000086,NSB0001367,Kredit Investasi,250000000,31301779,48,9.5,2021-05-08,2025-04-17,5-Macet,Mesin/Peralatan,Konstruksi
KRD000087,NSB0000611,KPR,500000000,419464354,240,9.5,2023-03-03,2042-11-18,2-Dalam Perhatian Khusus,Personal Guarantee,Manufaktur
KRD000088,NSB0001506,Kartu Kredit,50000000,40397829,12,11.0,2022-02-05,2023-01-31,1-Lancar,BPKB,Properti
KRD000089,NSB0001626,KUR Kecil,200000000,32099433,36,6.0,2020-10-19,2023-10-04,3-Kurang Lancar,Sertifikat Tanah,Manufaktur
KRD000090,NSB0005173,KPR,500000000,315955959,120,9.5,2023-03-12,2033-01-18,2-Dalam Perhatian Khusus,Sertifikat Tanah,Retail
KRD000091,NSB0005773,Kredit Investasi,50000000,7172872,36,7.5,2022-11-08,2025-10-23,2-Dalam Perhatian Khusus,BPKB,Konstruksi
KRD000092,NSB0004469,Kredit Multiguna,100000000,26770692,12,10.0,2021-02-10,2022-02-05,1-Lancar,Tanpa Agunan,Perikanan
KRD000093,NSB0003433,Kartu Kredit,50000000,18569748,24,10.5,2024-11-06,2026-10-27,1-Lancar,Deposito,Transportasi
KRD000094,NSB0008937,KKB,200000000,176158757,36,7.5,2024-02-24,2027-02-08,3-Kurang Lancar,BPKB,Jasa
KRD000095,NSB0003722,Kredit Multiguna,500000000,287812286,36,8.0,2020-01-30,2023-01-14,1-Lancar,Tanpa Agunan,Transportasi
KRD000096,NSB0006537,Kredit Modal Kerja,250000000,173436847,36,8.5,2025-03-15,2028-02-28,1-Lancar,Tanpa Agunan,Konstruksi
KRD000097,NSB0000831,KPR,200000000,80305727,120,9.0,2023-12-15,2033-10-23,1-Lancar,Deposito,F&B
KRD000098,NSB0009799,Kartu Kredit,1000000000,347154733,36,10.0,2023-02-28,2026-02-12,1-Lancar,Sertifikat Tanah,Transportasi
KRD000099,NSB0004195,KUR Mikro,10000000,7367229,24,6.0,2025-01-13,2027-01-03,1-Lancar,Mesin/Peralatan,Pertanian
KRD000100,NSB0000940,KPR,300000000,102338144,120,9.0,2022-12-07,2032-10-15,1-Lancar,Mesin/Peralatan,Properti
KRD000101,NSB0002221,Kartu Kredit,100000000,48171648,24,11.0,2024-06-16,2026-06-06,1-Lancar,BPKB,Retail
KRD000102,NSB0004850,Kredit Modal Kerja,500000000,315283403,36,10.5,2021-03-06,2024-02-19,1-Lancar,BPKB,Transportasi
KRD000103,NSB0007733,KPR,1000000000,610862624,120,9.5,2023-11-09,2033-09-17,1-Lancar,Sertifikat Tanah,Manufaktur
KRD000104,NSB0002664,Kredit Modal Kerja,1000000000,902906035,60,11.0,2025-01-06,2029-12-11,1-Lancar,BPKB,Retail
KRD000105,NSB0007580,KKB,150000000,29753983,36,11.0,2023-09-09,2026-08-24,1-Lancar,Personal Guarantee,Manufaktur
KRD000106,NSB0009800,KPR,1000000000,696520419,180,11.0,2020-06-11,2035-03-25,1-Lancar,BPKB,Transportasi
KRD000107,NSB0003213,Kredit Investasi,50000000,19292804,36,8.0,2022-10-22,2025-10-06,3-Kurang Lancar,Deposito,Retail
KRD000108,NSB0009305,KPR,1500000000,425014313,180,9.0,2024-05-07,2039-02-18,2-Dalam Perhatian Khusus,BPKB,Transportasi
KRD000109,NSB0005499,KUR Kecil,50000000,36085890,36,6.0,2022-05-11,2025-04-25,2-Dalam Perhatian Khusus,Sertifikat Tanah,Konstruksi
KRD000110,NSB0009404,KPR,500000000,272945699,240,9.5,2022-04-23,2042-01-08,1-Lancar,Personal Guarantee,Transportasi
KRD000111,NSB0007636,KPR,500000000,323549141,180,8.0,2021-06-15,2036-03-28,2-Dalam Perhatian Khusus,Mesin/Peralatan,Transportasi
KRD000112,NSB0009159,KPR,300000000,221870476,180,9.5,2021-10-08,2036-07-21,1-Lancar,Tanpa Agunan,Transportasi
KRD000113,NSB0005816,Kredit Multiguna,500000000,344931590,24,12.0,2021-12-19,2023-12-09,2-Dalam Perhatian Khusus,Deposito,Pertanian
KRD000114,NSB0006606,Kredit Investasi,100000000,37690709,60,12.0,2022-09-16,2027-08-21,3-Kurang Lancar,Personal Guarantee,Pertanian
KRD000115,NSB0007794,KPR,300000000,40543644,120,10.0,2021-10-07,2031-08-16,2-Dalam Perhatian Khusus,BPKB,Pertanian
KRD000116,NSB0006434,KKB,150000000,65485063,48,9.5,2023-07-05,2027-06-14,1-Lancar,Mesin/Peralatan,Konstruksi
KRD000117,NSB0009824,Kartu Kredit,500000000,143722306,24,11.0,2020-04-14,2022-04-04,1-Lancar,Mesin/Peralatan,Retail
KRD000118,NSB0004038,Kredit Modal Kerja,500000000,363550238,36,10.0,2024-08-09,2027-07-25,1-Lancar,Deposito,Perikanan
KRD000119,NSB0009209,Kredit Multiguna,100000000,30092497,24,10.5,2022-12-18,2024-12-07,1-Lancar,Sertifikat Tanah,Jasa
KRD000120,NSB0007515,KPR,300000000,105733554,240,10.5,2021-11-23,2041-08-10,1-Lancar,Deposito,Retail
KRD000121,NSB0008963,Kartu Kredit,50000000,18550382,12,7.5,2024-06-15,2025-06-10,3-Kurang Lancar,Tanpa Agunan,Konstruksi
KRD000122,NSB0004168,KUR Mikro,25000000,9478343,24,6.0,2020-07-15,2022-07-05,1-Lancar,Sertifikat Tanah,Konstruksi
KRD000123,NSB0006862,Kredit Investasi,1000000000,110687117,12,8.5,2020-07-08,2021-07-03,2-Dalam Perhatian Khusus,Tanpa Agunan,Manufaktur
KRD000124,NSB0004828,Kredit Modal Kerja,50000000,29307354,24,9.5,2022-08-26,2024-08-15,1-Lancar,Tanpa Agunan,Manufaktur
KRD000125,NSB0005993,Kredit Investasi,100000000,37487387,12,10.0,2023-09-19,2024-09-13,2-Dalam Perhatian Khusus,BPKB,Manufaktur
KRD000126,NSB0006182,Kredit Modal Kerja,1000000000,100529793,60,10.5,2021-05-18,2026-04-22,1-Lancar,Tanpa Agunan,Transportasi
KRD000127,NSB0008879,Kartu Kredit,250000000,205220398,24,8.0,2023-01-01,2024-12-21,1-Lancar,Sertifikat Tanah,Retail
KRD000128,NSB0003584,KPR,500000000,443364620,240,11.0,2020-04-22,2040-01-08,1-Lancar,Personal Guarantee,Pertanian
KRD000129,NSB0002440,KKB,100000000,47581522,36,10.5,2023-01-13,2025-12-28,1-Lancar,Mesin/Peralatan,Transportasi
KRD000130,NSB0005941,Kredit Modal Kerja,100000000,16691595,24,7.5,2021-07-01,2023-06-21,2-Dalam Perhatian Khusus,BPKB,Retail
KRD000131,NSB0004561,KUR Mikro,25000000,11647192,24,6.0,2023-10-01,2025-09-20,1-Lancar,BPKB,Pertanian
KRD000132,NSB0000047,KPR,200000000,89020189,180,7.5,2021-03-08,2035-12-20,1-Lancar,BPKB,Transportasi
KRD000133,NSB0003920,KUR Mikro,5000000,3209636,24,6.0,2022-11-25,2024-11-14,2-Dalam Perhatian Khusus,Sertifikat Tanah,Manufaktur
KRD000134,NSB0009220,Kredit Modal Kerja,100000000,10365917,12,12.0,2023-02-03,2024-01-29,4-Diragukan,BPKB,Konstruksi
KRD000135,NSB0005226,Kredit Modal Kerja,500000000,359321172,36,8.0,2023-03-25,2026-03-09,5-Macet,Tanpa Agunan,F&B
KRD000136,NSB0004347,KUR Mikro,25000000,4044681,36,6.0,2025-03-03,2028-02-16,1-Lancar,Personal Guarantee,Retail
KRD000137,NSB0006295,KPR,300000000,183252919,120,11.0,2024-11-25,2034-10-04,1-Lancar,Sertifikat Tanah,Retail
KRD000138,NSB0009370,Kredit Modal Kerja,500000000,341515050,12,12.0,2023-06-24,2024-06-18,3-Kurang Lancar,Deposito,Pertanian
KRD000139,NSB0004152,KUR Kecil,500000000,351604602,48,6.0,2022-08-10,2026-07-20,1-Lancar,Tanpa Agunan,Perikanan
KRD000140,NSB0004162,KUR Kecil,500000000,381670672,48,6.0,2023-01-07,2026-12-17,1-Lancar,BPKB,Manufaktur
KRD000141,NSB0009516,Kredit Multiguna,500000000,308021832,36,8.5,2023-09-25,2026-09-09,1-Lancar,Sertifikat Tanah,Perdagangan
KRD000142,NSB0004466,Kredit Multiguna,250000000,178957490,48,9.0,2023-10-15,2027-09-24,1-Lancar,BPKB,Properti
KRD000143,NSB0003230,KUR Kecil,50000000,35268900,48,6.0,2020-03-26,2024-03-05,5-Macet,Deposito,Pertanian
KRD000144,NSB0002406,Kartu Kredit,250000000,228000010,48,8.5,2025-01-04,2028-12-14,3-Kurang Lancar,Deposito,F&B
KRD000145,NSB0003561,Kartu Kredit,500000000,167302819,36,10.5,2023-03-28,2026-03-12,1-Lancar,Tanpa Agunan,Konstruksi
KRD000146,NSB0000561,KUR Mikro,25000000,5954518,24,6.0,2023-03-17,2025-03-06,3-Kurang Lancar,Personal Guarantee,Perikanan
KRD000147,NSB0006495,Kredit Investasi,100000000,87316504,60,12.0,2023-03-30,2028-03-03,3-Kurang Lancar,BPKB,Perikanan
KRD000148,NSB0007861,Kredit Modal Kerja,250000000,33305968,60,10.0,2020-01-16,2024-12-20,1-Lancar,BPKB,Perdagangan
KRD000149,NSB0005721,KPR,1500000000,381907515,120,9.5,2021-06-21,2031-04-30,1-Lancar,Mesin/Peralatan,Transportasi
KRD000150,NSB0005105,KUR Mikro,15000000,9156958,12,6.0,2022-03-05,2023-02-28,1-Lancar,Mesin/Peralatan,Properti
KRD000151,NSB0009082,Kredit Modal Kerja,100000000,80555096,24,8.5,2023-11-24,2025-11-13,2-Dalam Perhatian Khusus,BPKB,F&B
KRD000152,NSB0003216,KPR,1000000000,648827815,180,10.5,2020-07-27,2035-05-10,3-Kurang Lancar,Deposito,Jasa
KRD000153,NSB0007484,Kredit Modal Kerja,250000000,138251559,48,10.0,2023-03-20,2027-02-27,1-Lancar,Tanpa Agunan,Manufaktur
KRD000154,NSB0006105,KPR,300000000,39246828,120,7.5,2025-03-15,2035-01-22,2-Dalam Perhatian Khusus,BPKB,Perdagangan
KRD000155,NSB0003375,KUR Mikro,15000000,3560240,36,6.0,2022-11-30,2025-11-14,2-Dalam Perhatian Khusus,Tanpa Agunan,Perikanan
KRD000156,NSB0003790,Kredit Investasi,50000000,16400257,48,9.0,2022-07-12,2026-06-21,2-Dalam Perhatian Khusus,Mesin/Peralatan,Jasa
KRD000157,NSB0007992,KUR Mikro,10000000,3362455,24,6.0,2023-12-05,2025-11-24,1-Lancar,Mesin/Peralatan,F&B
KRD000158,NSB0005283,Kredit Multiguna,500000000,204639730,48,9.0,2020-06-06,2024-05-16,1-Lancar,Tanpa Agunan,Retail
KRD000159,NSB0008143,KUR Kecil,50000000,6290675,36,6.0,2020-07-15,2023-06-30,1-Lancar,Sertifikat Tanah,F&B
KRD000160,NSB0009000,KUR Mikro,10000000,2399021,24,6.0,2023-03-21,2025-03-10,5-Macet,Deposito,Perdagangan
KRD000161,NSB0009931,KUR Kecil,100000000,58946593,36,6.0,2021-12-08,2024-11-22,2-Dalam Perhatian Khusus,Personal Guarantee,Perikanan
KRD000162,NSB0008756,KPR,1000000000,571749976,240,8.5,2021-12-17,2041-09-03,1-Lancar,Tanpa Agunan,F&B
KRD000163,NSB0004332,Kredit Multiguna,250000000,181663865,12,12.0,2025-03-15,2026-03-10,1-Lancar,Tanpa Agunan,Perdagangan
KRD000164,NSB0005768,KKB,100000000,11361859,48,10.0,2024-08-09,2028-07-19,1-Lancar,Personal Guarantee,Properti
KRD000165,NSB0000803,KKB,200000000,62173291,60,9.0,2020-10-20,2025-09-24,1-Lancar,Personal Guarantee,Perdagangan
KRD000166,NSB0008515,KUR Kecil,100000000,43291583,48,6.0,2023-02-21,2027-01-31,1-Lancar,Tanpa Agunan,Properti
KRD000167,NSB0009037,Kredit Multiguna,500000000,183630089,60,8.0,2021-03-31,2026-03-05,1-Lancar,Tanpa Agunan,Manufaktur
KRD000168,NSB0004406,KKB,100000000,69040319,48,10.5,2022-01-18,2025-12-28,1-Lancar,Personal Guarantee,Jasa
KRD000169,NSB0004421,KPR,750000000,621989355,120,11.0,2020-12-14,2030-10-23,1-Lancar,BPKB,Konstruksi
KRD000170,NSB0001647,KKB,500000000,192875884,60,7.5,2023-06-27,2028-05-31,1-Lancar,Sertifikat Tanah,Pertanian
KRD000171,NSB0000602,Kredit Investasi,500000000,196729636,48,9.0,2021-06-06,2025-05-16,1-Lancar,Tanpa Agunan,Perikanan
KRD000172,NSB0006136,Kartu Kredit,500000000,316009166,60,8.5,2024-02-12,2029-01-16,1-Lancar,Personal Guarantee,Transportasi
KRD000173,NSB0005945,KPR,500000000,420399360,180,10.5,2021-07-29,2036-05-11,1-Lancar,BPKB,Konstruksi
KRD000174,NSB0002977,KKB,100000000,31896141,36,8.5,2021-08-01,2024-07-16,1-Lancar,Personal Guarantee,Pertanian
KRD000175,NSB0005320,KUR Mikro,10000000,1353354,24,6.0,2023-07-17,2025-07-06,3-Kurang Lancar,Mesin/Peralatan,F&B
KRD000176,NSB0002002,Kredit Modal Kerja,1000000000,819671318,24,8.0,2020-08-04,2022-07-25,4-Diragukan,Tanpa Agunan,Perdagangan
KRD000177,NSB0009886,KUR Mikro,10000000,4445828,12,6.0,2020-02-01,2021-01-26,1-Lancar,Sertifikat Tanah,Manufaktur
KRD000178,NSB0006215,KPR,200000000,88489279,240,9.5,2025-03-10,2044-11-25,1-Lancar,Tanpa Agunan,F&B
KRD000179,NSB0007879,Kredit Multiguna,500000000,82940295,36,8.0,2021-11-16,2024-10-31,1-Lancar,Tanpa Agunan,Perikanan
KRD000180,NSB0002484,KUR Mikro,15000000,14007360,36,6.0,2024-05-21,2027-05-06,1-Lancar,Sertifikat Tanah,Perdagangan
KRD000181,NSB0006202,Kredit Modal Kerja,500000000,307176167,36,8.0,2022-01-10,2024-12-25,1-Lancar,Personal Guarantee,Retail
KRD000182,NSB0006649,Kredit Multiguna,500000000,275610438,60,12.0,2024-09-21,2029-08-26,1-Lancar,BPKB,Properti
KRD000183,NSB0000329,KKB,500000000,198862603,60,9.0,2021-05-17,2026-04-21,1-Lancar,Tanpa Agunan,Perikanan
KRD000184,NSB0004825,Kredit Modal Kerja,100000000,37296013,12,9.0,2020-04-22,2021-04-17,1-Lancar,Deposito,Jasa
KRD000185,NSB0005351,Kredit Multiguna,1000000000,451475426,36,8.5,2024-07-28,2027-07-13,5-Macet,Sertifikat Tanah,Transportasi
KRD000186,NSB0004342,KUR Mikro,20000000,2511587,12,6.0,2021-11-26,2022-11-21,1-Lancar,Sertifikat Tanah,Konstruksi
KRD000187,NSB0006791,Kredit Modal Kerja,500000000,168665834,36,8.5,2020-09-02,2023-08-18,4-Diragukan,Personal Guarantee,Perdagangan
KRD000188,NSB0008783,Kartu Kredit,250000000,156246371,60,12.0,2020-03-21,2025-02-23,1-Lancar,BPKB,Transportasi
KRD000189,NSB0000337,Kredit Modal Kerja,50000000,24290856,24,7.5,2020-01-22,2022-01-11,1-Lancar,Sertifikat Tanah,Retail
KRD000190,NSB0003779,KPR,200000000,182983899,240,11.0,2024-04-01,2043-12-18,1-Lancar,Personal Guarantee,Retail
KRD000191,NSB0009301,Kredit Modal Kerja,1000000000,158313368,60,9.5,2023-02-17,2028-01-22,1-Lancar,Sertifikat Tanah,Transportasi
KRD000192,NSB0009739,Kartu Kredit,500000000,100112600,36,10.0,2023-07-16,2026-06-30,5-Macet,Tanpa Agunan,Retail
